aX,aY,aZ,gX,gY,gZ,Result
-5784.0,-16040.0,-3624.0,1969.0,-5672.0,-8601.0,0.0
-6940.0,-15336.0,-3212.0,-1064.0,-7407.0,-4398.0,0.0
-7068.0,-14228.0,-4460.0,-386.0,-4050.0,-1448.0,0.0
-7260.0,-14176.0,-3848.0,163.0,-1632.0,458.0,0.0
-7500.0,-14428.0,-3900.0,-479.0,318.0,3488.0,0.0
-7960.0,-14324.0,-3244.0,1149.0,2330.0,1922.0,0.0
-7300.0,-14564.0,-3656.0,1274.0,3345.0,2623.0,0.0
-6884.0,-13776.0,-3364.0,819.0,3334.0,3871.0,0.0
-6744.0,-14520.0,-3092.0,2126.0,3488.0,2649.0,0.0
-6452.0,-13304.0,-3024.0,1019.0,3195.0,3874.0,0.0
-5300.0,-13580.0,-3244.0,2087.0,1834.0,1086.0,0.0
-5620.0,-15292.0,-1952.0,798.0,1894.0,556.0,0.0
-5144.0,-14984.0,-2428.0,-548.0,418.0,2066.0,0.0
-6388.0,-14132.0,-2804.0,-725.0,-1186.0,1022.0,0.0
-7004.0,-14384.0,-3144.0,-872.0,-1440.0,-57.0,0.0
-6992.0,-14076.0,-3056.0,-1002.0,-2138.0,-363.0,0.0
-7384.0,-14188.0,-2972.0,-1511.0,-2019.0,-555.0,0.0
-7648.0,-13820.0,-3520.0,-1795.0,-2253.0,57.0,0.0
-8636.0,-13248.0,-4212.0,-1922.0,-947.0,-813.0,0.0
-8652.0,-13164.0,-4520.0,-1108.0,1517.0,-1577.0,0.0
-8116.0,-13420.0,-4020.0,-1029.0,2294.0,-936.0,0.0
-8716.0,-13620.0,-3292.0,792.0,-1053.0,1155.0,0.0
-9972.0,-13992.0,-2880.0,-495.0,242.0,-26.0,0.0
-8596.0,-13852.0,-3796.0,292.0,666.0,-2942.0,0.0
-7084.0,-13916.0,-4016.0,953.0,1572.0,-4525.0,0.0
-4036.0,-15320.0,-4300.0,515.0,2266.0,-4041.0,0.0
-3072.0,-13848.0,-3808.0,436.0,231.0,-1111.0,0.0
-3896.0,-13236.0,-3900.0,391.0,-1691.0,2673.0,0.0
-6348.0,-13932.0,-2960.0,938.0,-2165.0,4216.0,0.0
-7484.0,-13604.0,-3044.0,940.0,-1767.0,3474.0,0.0
-10176.0,-15484.0,-2876.0,67.0,-882.0,2246.0,0.0
-9740.0,-16104.0,-3100.0,-535.0,1022.0,-2162.0,0.0
-8104.0,-14792.0,-3480.0,-1152.0,1159.0,-3189.0,0.0
-6524.0,-14244.0,-3640.0,-1493.0,930.0,-2127.0,0.0
-5600.0,-12788.0,-3824.0,-952.0,219.0,-1201.0,0.0
-4904.0,-12316.0,-3564.0,24.0,83.0,-466.0,0.0
-4828.0,-12376.0,-3532.0,641.0,-56.0,1149.0,0.0
-5228.0,-13248.0,-2824.0,1505.0,-808.0,2830.0,0.0
-7568.0,-14512.0,-3192.0,1219.0,-1881.0,4436.0,0.0
-10836.0,-15956.0,-3368.0,538.0,-858.0,1754.0,0.0
-10112.0,-16252.0,-3152.0,-739.0,1516.0,-1891.0,0.0
-8180.0,-14832.0,-3664.0,-1169.0,1732.0,-2854.0,0.0
-7256.0,-13816.0,-3400.0,-1194.0,1997.0,-3072.0,0.0
-5880.0,-12504.0,-3268.0,-687.0,2762.0,-3083.0,0.0
-4372.0,-11844.0,-3136.0,607.0,2148.0,-1998.0,0.0
-2832.0,-12032.0,-3488.0,1025.0,1787.0,1078.0,0.0
-5128.0,-13872.0,-4152.0,1594.0,-2890.0,7383.0,0.0
-10112.0,-16348.0,-3684.0,1375.0,-2614.0,2547.0,0.0
-10232.0,-16924.0,-3724.0,-419.0,1398.0,-1612.0,0.0
-7248.0,-15944.0,-4232.0,-1315.0,1247.0,-3345.0,0.0
-6836.0,-14084.0,-3512.0,-1480.0,548.0,-2449.0,0.0
-5800.0,-12932.0,-2976.0,-1148.0,780.0,-2531.0,0.0
-4264.0,-11856.0,-3224.0,-436.0,418.0,-1587.0,0.0
-4192.0,-11640.0,-3728.0,580.0,-1456.0,1101.0,0.0
-5496.0,-13204.0,-3668.0,1624.0,-1870.0,3783.0,0.0
-7888.0,-14728.0,-3668.0,1098.0,-2156.0,3581.0,0.0
-9656.0,-16240.0,-3936.0,442.0,-976.0,2180.0,0.0
-10188.0,-16160.0,-3984.0,-823.0,811.0,-698.0,0.0
-8096.0,-15148.0,-4068.0,-1747.0,3204.0,-3419.0,0.0
-6708.0,-13292.0,-3368.0,-1060.0,5181.0,-5573.0,0.0
-4868.0,-13268.0,-4028.0,-1305.0,6305.0,-5844.0,0.0
-3648.0,-12456.0,-4248.0,-1112.0,5011.0,-5401.0,0.0
-3404.0,-13804.0,-4564.0,95.0,1599.0,-2379.0,0.0
-4056.0,-14616.0,-5276.0,1120.0,-2162.0,2211.0,0.0
-5220.0,-14960.0,-4952.0,2094.0,-3986.0,5608.0,0.0
-7328.0,-15732.0,-4048.0,1467.0,-4629.0,3134.0,0.0
-8132.0,-16656.0,-4152.0,-1036.0,850.0,-990.0,0.0
-5716.0,-15656.0,-4704.0,-892.0,1528.0,-3417.0,0.0
-4464.0,-14784.0,-3992.0,-721.0,287.0,-2580.0,0.0
-3944.0,-13544.0,-3884.0,-351.0,-1019.0,-251.0,0.0
-3884.0,-12552.0,-4036.0,288.0,-1958.0,2089.0,0.0
-4064.0,-12780.0,-4152.0,1358.0,-2735.0,4665.0,0.0
-6480.0,-14060.0,-3836.0,2014.0,-3232.0,6134.0,0.0
-8488.0,-15672.0,-3376.0,677.0,-1636.0,2918.0,0.0
-8968.0,-16196.0,-3956.0,-91.0,177.0,-42.0,0.0
-8248.0,-15608.0,-3892.0,-846.0,615.0,-2580.0,0.0
-7396.0,-14332.0,-3676.0,-1441.0,2504.0,-3623.0,0.0
-5976.0,-13808.0,-3096.0,-1292.0,4509.0,-5416.0,0.0
-4364.0,-12900.0,-3632.0,-830.0,2854.0,-3880.0,0.0
-2836.0,-12568.0,-4280.0,790.0,-168.0,1221.0,0.0
-4036.0,-12996.0,-4004.0,1995.0,-3823.0,5669.0,0.0
-7364.0,-15376.0,-3872.0,1277.0,-3182.0,3590.0,0.0
-8004.0,-16096.0,-4064.0,695.0,-827.0,536.0,0.0
-7516.0,-16648.0,-3816.0,-693.0,832.0,-1581.0,0.0
-6592.0,-15440.0,-4000.0,-1730.0,1646.0,-3132.0,0.0
-5792.0,-14016.0,-3464.0,-2680.0,3328.0,-6729.0,0.0
-3064.0,-13320.0,-4300.0,-1869.0,2382.0,-3092.0,0.0
-3888.0,-13064.0,-4384.0,-76.0,-88.0,1321.0,0.0
-5308.0,-13996.0,-4532.0,1201.0,-1634.0,3574.0,0.0
-7228.0,-15444.0,-4012.0,1043.0,-390.0,883.0,0.0
-6572.0,-15592.0,-4836.0,288.0,660.0,-638.0,0.0
-5748.0,-15416.0,-4420.0,314.0,464.0,-1589.0,0.0
-5020.0,-15024.0,-3768.0,-792.0,945.0,-2096.0,0.0
-3600.0,-13724.0,-3904.0,-474.0,-1013.0,424.0,0.0
-4820.0,-13408.0,-4396.0,876.0,-2959.0,3607.0,0.0
-7280.0,-14996.0,-4328.0,820.0,-780.0,1058.0,0.0
-6980.0,-15712.0,-4592.0,495.0,1635.0,-2021.0,0.0
-5464.0,-15468.0,-4492.0,346.0,1578.0,-2675.0,0.0
-3920.0,-14772.0,-3660.0,141.0,1861.0,-2418.0,0.0
-3440.0,-14992.0,-3920.0,-211.0,205.0,266.0,0.0
-4560.0,-13984.0,-4164.0,-165.0,-767.0,1059.0,0.0
-5660.0,-14260.0,-4268.0,-214.0,-458.0,814.0,0.0
-5256.0,-14832.0,-3988.0,264.0,40.0,-627.0,0.0
-4548.0,-15244.0,-4084.0,-319.0,-253.0,-716.0,0.0
-3632.0,-15928.0,-4940.0,-1729.0,-1705.0,-847.0,0.0
-6388.0,-16732.0,-3836.0,-3344.0,-35.0,-1275.0,1.0
-5248.0,-14744.0,-5324.0,-7528.0,5280.0,-5692.0,1.0
1768.0,-10916.0,-4536.0,-6506.0,4176.0,-1831.0,1.0
-2720.0,-16168.0,-9164.0,9906.0,-22117.0,23997.0,1.0
-21184.0,-19016.0,5636.0,-10311.0,10848.0,-11457.0,1.0
5924.0,-7432.0,-12776.0,-12134.0,12822.0,-9052.0,1.0
940.0,-10176.0,-9204.0,20828.0,-26643.0,23423.0,1.0
-21524.0,-23024.0,2984.0,-14499.0,16450.0,-12368.0,1.0
3712.0,-3364.0,-13268.0,-12117.0,9821.0,-5191.0,1.0
-3660.0,-11292.0,-6800.0,25719.0,-25687.0,12333.0,1.0
-14552.0,-25480.0,-720.0,-17999.0,17846.0,-7397.0,1.0
5292.0,-7040.0,-11376.0,-1485.0,396.0,-124.0,1.0
-11360.0,-4336.0,1676.0,12528.0,-23833.0,14488.0,1.0
-12508.0,-18284.0,-4748.0,-10313.0,17691.0,-10520.0,1.0
-424.0,-13204.0,-8464.0,-4226.0,9588.0,-6789.0,1.0
-220.0,-11684.0,-9084.0,7261.0,-9149.0,12700.0,1.0
-14996.0,-23272.0,-3952.0,-2420.0,3092.0,-3653.0,1.0
2580.0,-9204.0,-11164.0,-3171.0,3462.0,-3228.0,1.0
-5092.0,-9208.0,-5084.0,15339.0,-15897.0,11276.0,1.0
-14328.0,-23144.0,-1292.0,-9484.0,5546.0,-2672.0,1.0
652.0,-10236.0,-10420.0,-1098.0,2544.0,-2778.0,1.0
-6980.0,-13312.0,-3372.0,11286.0,-14307.0,8812.0,1.0
-13188.0,-19060.0,-2160.0,-5791.0,10011.0,-10068.0,1.0
3152.0,-10856.0,-10608.0,885.0,2398.0,-3233.0,1.0
-4456.0,-5164.0,-1944.0,17020.0,-14833.0,-2492.0,1.0
-11520.0,-25144.0,-1388.0,-4394.0,6074.0,-3954.0,1.0
-6896.0,-18656.0,-2580.0,-7336.0,16031.0,12155.0,1.0
328.0,-8292.0,-8056.0,635.0,-1425.0,3966.0,1.0
-3436.0,-12988.0,-4484.0,10866.0,-18157.0,-12305.0,1.0
-11212.0,-21304.0,-936.0,-6470.0,7292.0,8796.0,1.0
-4232.0,-10824.0,-5232.0,-3754.0,7294.0,2297.0,1.0
-4752.0,-12964.0,-3944.0,1244.0,-4548.0,-5384.0,1.0
-3852.0,-14848.0,-6168.0,-6635.0,4733.0,-1249.0,1.0
-4460.0,-11296.0,-7644.0,6196.0,-8415.0,8177.0,1.0
-11452.0,-17108.0,-268.0,1278.0,143.0,-3601.0,1.0
-3208.0,-13988.0,-6072.0,-5706.0,5709.0,-4625.0,1.0
-2672.0,-13144.0,-7644.0,6254.0,-7688.0,3225.0,1.0
-9932.0,-16900.0,-224.0,6719.0,-3335.0,-8121.0,1.0
-3440.0,-13932.0,-3636.0,-5540.0,4460.0,-3359.0,1.0
-2532.0,-14212.0,-4520.0,3639.0,-6237.0,5860.0,1.0
-9760.0,-17040.0,-1532.0,1314.0,-1811.0,-1132.0,1.0
-3148.0,-14308.0,-4332.0,-3877.0,4694.0,-2141.0,1.0
-2792.0,-13304.0,-3096.0,5110.0,-7331.0,4786.0,1.0
-10828.0,-19188.0,168.0,-1910.0,4494.0,-3063.0,1.0
-1512.0,-12572.0,-5736.0,-3261.0,5182.0,-3111.0,1.0
-3068.0,-13916.0,-3260.0,5062.0,-8219.0,6592.0,1.0
-9632.0,-17256.0,-1020.0,-2862.0,3116.0,-1377.0,1.0
-2076.0,-13788.0,-5760.0,-2335.0,3859.0,-1622.0,1.0
-4276.0,-13120.0,-2828.0,5571.0,-9252.0,3691.0,1.0
-9524.0,-18548.0,-1664.0,-4843.0,6731.0,-3380.0,1.0
-1632.0,-12668.0,-7160.0,-592.0,2197.0,-1329.0,1.0
-6088.0,-13144.0,-1568.0,5333.0,-8350.0,4746.0,1.0
-8712.0,-18156.0,-2116.0,-5860.0,6852.0,-2774.0,1.0
-980.0,-13124.0,-6712.0,579.0,-680.0,-494.0,1.0
-6956.0,-14720.0,-1424.0,4228.0,-9664.0,4140.0,1.0
-8168.0,-17528.0,-3304.0,-6815.0,8788.0,-2873.0,1.0
152.0,-13788.0,-7492.0,1834.0,-4030.0,1871.0,1.0
-8104.0,-11244.0,1948.0,5230.0,-8650.0,2383.0,1.0
-8536.0,-16292.0,-2440.0,-7256.0,9172.0,601.0,1.0
-2184.0,-13920.0,-6504.0,907.0,2868.0,-8205.0,1.0
-3616.0,-13524.0,-2544.0,5647.0,-8620.0,6080.0,1.0
