ax,ay,az,gx,gy,gz,tremor
7956.0,-11344.0,-11308.0,1726.0,1259.0,-222.0,0.0
9036.0,-11516.0,-11196.0,5935.0,4248.0,-133.0,0.0
10048.0,-11948.0,-9540.0,-2140.0,4651.0,-2210.0,0.0
8932.0,-11364.0,-8932.0,-663.0,1832.0,-470.0,0.0
8256.0,-12144.0,-9164.0,-2271.0,1210.0,-780.0,0.0
7716.0,-11920.0,-9676.0,-1448.0,-503.0,139.0,0.0
7588.0,-11428.0,-10760.0,-1924.0,-184.0,105.0,0.0
7840.0,-11676.0,-10456.0,-755.0,6.0,528.0,0.0
7508.0,-11720.0,-10420.0,-1106.0,-544.0,469.0,0.0
7624.0,-11416.0,-10468.0,-1079.0,-1113.0,755.0,0.0
7584.0,-11600.0,-10996.0,-1181.0,-1052.0,328.0,1.0
7744.0,-11420.0,-11004.0,-266.0,-914.0,310.0,1.0
8004.0,-11888.0,-10972.0,-136.0,-650.0,67.0,1.0
8188.0,-11564.0,-11188.0,274.0,-73.0,-282.0,1.0
8556.0,-10820.0,-11608.0,2631.0,400.0,756.0,1.0
8264.0,-10752.0,-11076.0,31234.0,3045.0,10190.0,1.0
6784.0,-25520.0,-7588.0,3525.0,11293.0,-5413.0,1.0
9576.0,-6984.0,-2364.0,-14274.0,1580.0,-10977.0,1.0
6384.0,-9712.0,-7424.0,6616.0,-10575.0,7184.0,1.0
8760.0,-17200.0,-10572.0,-2093.0,19664.0,-19544.0,1.0
15644.0,-9928.0,-936.0,-36.0,-16745.0,11958.0,1.0
380.0,-15876.0,-10904.0,-9012.0,-2227.0,-7512.0,1.0
13692.0,-11488.0,-7324.0,7095.0,4501.0,-466.0,1.0
5076.0,-14988.0,-8516.0,-11469.0,184.0,-6949.0,1.0
10068.0,-8184.0,-8388.0,7538.0,12488.0,-6536.0,1.0
12236.0,-12628.0,-3904.0,-4961.0,-4812.0,2739.0,1.0
10004.0,-12664.0,-8880.0,4565.0,8786.0,-8856.0,1.0
15528.0,-10524.0,-2312.0,4262.0,-1811.0,4633.0,1.0
7168.0,-11932.0,-8544.0,-4708.0,-10017.0,7013.0,1.0
14292.0,-12352.0,-7800.0,-260.0,9796.0,-4504.0,1.0
12660.0,-10316.0,-4692.0,-2064.0,-2485.0,3844.0,1.0
8088.0,-11268.0,-7900.0,-4185.0,-4363.0,3296.0,1.0
11888.0,-11388.0,-6688.0,512.0,9198.0,-4688.0,1.0
13776.0,-9644.0,-3808.0,-226.0,-4693.0,4059.0,1.0
7196.0,-11892.0,-8960.0,-1010.0,-12946.0,7917.0,1.0
11752.0,-11164.0,-9628.0,-769.0,17594.0,-11512.0,1.0
14808.0,-9636.0,-2644.0,981.0,-6286.0,6493.0,1.0
4436.0,-12448.0,-9508.0,-1240.0,-10319.0,3585.0,1.0
13136.0,-11440.0,-8292.0,3346.0,9883.0,-3371.0,1.0
13072.0,-10812.0,-4064.0,-1964.0,-6787.0,6643.0,1.0
5304.0,-12820.0,-9492.0,-2552.0,-11058.0,4199.0,1.0
10296.0,-13460.0,-10560.0,3193.0,10215.0,-6410.0,1.0
13564.0,-11236.0,-5720.0,96.0,-1828.0,1912.0,1.0
8896.0,-9760.0,-7184.0,-6255.0,-12466.0,10052.0,1.0
6816.0,-13332.0,-11924.0,128.0,13273.0,-9918.0,1.0
14644.0,-10824.0,-5544.0,3482.0,1358.0,388.0,1.0
8708.0,-10432.0,-6252.0,-5740.0,-14565.0,12338.0,1.0
6520.0,-12968.0,-11836.0,-1265.0,8511.0,-5023.0,1.0
12276.0,-12488.0,-8472.0,2601.0,5055.0,-2224.0,1.0
10900.0,-11040.0,-6060.0,-5196.0,-8210.0,5003.0,1.0
5300.0,-11924.0,-10648.0,-875.0,-7702.0,2926.0,1.0
9604.0,-12468.0,-11008.0,2896.0,12736.0,-6182.0,1.0
11352.0,-11300.0,-6264.0,784.0,-2152.0,2982.0,1.0
7084.0,-11460.0,-8088.0,-3007.0,-9919.0,5635.0,1.0
6848.0,-12792.0,-11544.0,2063.0,11502.0,-8362.0,1.0
13196.0,-11800.0,-6736.0,3418.0,3307.0,-1330.0,1.0
9676.0,-9904.0,-5628.0,-7509.0,-19368.0,12254.0,1.0
3064.0,-13716.0,-13200.0,-85.0,825.0,-3416.0,1.0
10860.0,-12480.0,-10436.0,5374.0,11202.0,-4092.0,1.0
9968.0,-11844.0,-6700.0,-1625.0,-2289.0,2940.0,1.0
7632.0,-11476.0,-7780.0,-5017.0,-11466.0,7392.0,1.0
4664.0,-14152.0,-12808.0,1837.0,10536.0,-8799.0,1.0
12864.0,-11632.0,-8292.0,4318.0,10427.0,-5548.0,1.0
10124.0,-9860.0,-4784.0,-4504.0,-11385.0,8111.0,1.0
4028.0,-13036.0,-11084.0,-2308.0,-5218.0,597.0,1.0
9796.0,-13048.0,-11116.0,4844.0,14904.0,-6536.0,1.0
11812.0,-11544.0,-5924.0,579.0,-4480.0,5014.0,1.0
6348.0,-11560.0,-7840.0,-5194.0,-10469.0,6904.0,1.0
6780.0,-13384.0,-12356.0,2278.0,9006.0,-5056.0,1.0
11368.0,-13156.0,-7904.0,2355.0,3817.0,-1200.0,1.0
8752.0,-10976.0,-7048.0,-5462.0,-10332.0,6547.0,1.0
5072.0,-13332.0,-11372.0,699.0,5372.0,-5157.0,1.0
11000.0,-11732.0,-8556.0,3311.0,6408.0,-2492.0,1.0
9128.0,-11660.0,-6004.0,-4204.0,-11012.0,7573.0,1.0
3348.0,-13280.0,-10932.0,-2067.0,-5219.0,578.0,1.0
7944.0,-13756.0,-11576.0,6812.0,15096.0,-8339.0,1.0
12124.0,-12324.0,-5860.0,2400.0,3363.0,-709.0,1.0
8496.0,-10496.0,-4580.0,-4565.0,-15584.0,9230.0,1.0
3908.0,-14072.0,-11348.0,1074.0,-910.0,-3807.0,1.0
10036.0,-12516.0,-9316.0,3776.0,3536.0,-3136.0,1.0
